PI,Total Projects,FF Funded Projects,FF Funding Percentage
Khalid Aziz,1,1,100.0
Jef Caers,16,10,62.5
Biondo Biondi,12,7,58.3
Louis Durlofsky,7,4,57.1
Hamdi Tchelepi,16,7,43.8
Tiziana Vanorio,7,2,28.6
Stephan Graham,7,2,28.6
Gerald Mavko,8,2,25.0
Mark Zoback,14,3,21.4
Anthony Kovscek,52,11,21.2
Richard Luthy,24,5,20.8
Elizabeth Miller,15,3,20.0
Jerry Harris,10,2,20.0
Tapan Mukerji,13,2,15.4
Aaron Lindenberg,7,1,14.3
William Chueh,37,5,13.5
Peter Kitanidis,9,1,11.1
Michael Lepech,21,2,9.5
Alfred Spormann,34,3,8.8
Adam Brandt,49,4,8.2
Eric Shaqfeh,25,2,8.0
Chris Edwards,14,1,7.1
Jonathan Payne,14,1,7.1
Yi Cui,33,2,6.1
Matteo Cargnello,34,2,5.9
Nicholas Melosh,34,2,5.9
Erik Sperling,17,1,5.9
Mykel Kochenderfer,58,3,5.2
Ronald Hanson,156,8,5.1
Hai Wang,20,1,5.0
Eric Kool,20,1,5.0
Greg Beroza,47,2,4.3
Arunava Majumdar,25,1,4.0
Roland Horne,25,1,4.0
Matthias Ihme,51,2,3.9
Meagan Mauter,27,1,3.7
William Tarpeh,28,1,3.6
Jonathan Fan,31,1,3.2
William Mitch,36,1,2.8
Gerald Fuller,37,1,2.7
Ram Rajagopal,37,1,2.7
Thomas Jaramillo,40,1,2.5
Martin Fejer,49,1,2.0
Richard Zare,60,1,1.7
Sally Benson,75,1,1.3
